ticket_id,customer_id,created_at,resolved_at,channel,language,product,issue_type,priority,agent_id,wait_time_sec,handle_time_sec,first_call_resolution,csat_score,customer_sentiment,status,knowledge_article_used,llm_confidence,escalated,region
TKT000001,CUST28289,2026-04-27 09:41:00,2026-04-27 09:47:18,Voice,Hindi,Broadband,Password Reset,Low,AG103,30,348,1,3.1,Positive,Escalated,0,0.84,1,North
TKT000002,CUST54597,2026-03-23 18:37:00,2026-03-23 18:48:40,Chat,Tamil,Internet,Network Issue,Critical,AG104,11,689,0,3.4,Neutral,Pending,1,0.92,1,South
TKT000003,CUST91070,2026-06-27 03:36:00,2026-06-27 03:52:20,Email,Hindi,Mobile,Network Issue,Low,AG122,85,895,1,4.6,Positive,Pending,0,0.94,0,West
TKT000004,CUST37460,2026-02-20 14:29:00,2026-02-20 14:52:46,Voice,Hindi,Mobile,Plan Upgrade,Medium,AG115,378,1048,0,2.3,Neutral,Pending,0,0.88,0,North
TKT000005,CUST37653,2026-05-30 14:30:00,2026-05-30 14:38:33,Email,English,Broadband,Complaint,Critical,AG105,328,185,1,3.2,Neutral,Escalated,0,0.9,1,West
TKT000006,CUST28131,2026-06-13 10:38:00,2026-06-13 10:59:52,Voice,English,Internet,Billing Query,Medium,AG126,375,937,0,4.5,Negative,In Progress,0,0.78,1,East
TKT000007,CUST54587,2026-06-26 18:42:00,2026-06-26 18:46:25,WhatsApp,English,Broadband,Password Reset,High,AG117,122,143,1,4.4,Positive,Resolved,1,0.94,0,North
TKT000008,CUST74042,2026-03-10 01:39:00,,Email,Tamil,Mobile,Password Reset,Medium,AG129,557,450,0,3.1,Negative,Resolved,0,0.9,0,North
TKT000009,CUST89507,2026-01-24 08:57:00,2026-01-24 09:24:40,Chat,Hindi,Mobile,SIM Activation,Critical,AG122,567,1093,0,1.9,Negative,Pending,1,0.96,1,South
TKT000010,CUST82603,2026-02-15 03:06:00,2026-02-15 03:16:50,Chat,English,Internet,Password Reset,Medium,AG103,70,580,1,2.6,Positive,Pending,0,0.82,1,West
TKT000011,CUST71993,2026-02-09 00:00:00,2026-02-09 00:16:19,Chat,English,Internet,Complaint,High,AG114,589,390,1,3.1,Neutral,In Progress,0,0.88,0,South
TKT000012,CUST80292,2026-03-15 07:04:00,2026-03-15 07:19:30,WhatsApp,English,DTH,Device Setup,Medium,AG128,116,814,0,1.7,Positive,In Progress,0,0.67,0,South
TKT000013,CUST38016,2026-06-18 15:21:00,2026-06-18 15:33:59,Voice,English,Broadband,Password Reset,Critical,AG109,175,604,1,3.7,Neutral,Pending,1,0.89,1,North
TKT000014,CUST81066,2026-02-04 13:40:00,,Email,English,Internet,Device Setup,Medium,AG102,227,727,0,3.0,Negative,Resolved,0,0.67,0,North
TKT000015,CUST15209,2026-03-15 12:07:00,2026-03-15 12:22:53,WhatsApp,Hindi,Billing,Refund,High,AG107,588,365,0,3.0,Negative,Pending,0,0.74,0,East
TKT000016,CUST83792,2026-03-25 05:38:00,2026-03-25 05:52:06,Voice,Hindi,Mobile,SIM Activation,Medium,AG130,79,767,0,2.6,Neutral,Resolved,0,0.78,0,West
TKT000017,CUST82692,2026-06-01 18:41:00,2026-06-01 19:02:25,Voice,English,DTH,Network Issue,Low,AG124,546,739,0,3.3,Negative,Escalated,1,0.75,0,East
